Sample,City,Environment,ARG_Name,ARG_Class,Abundance
DRR480202,Kolkata,Controlled,AAC(3)-VIa,gb|AAA16194.1|ARO:3002540|AAC(3)-VIa,117
DRR480202,Kolkata,Controlled,ANT(9)-Ib,gb|AAA16527.1|ARO:3007401|ANT(9)-Ib,15
DRR480202,Kolkata,Controlled,blaF,gb|AAA19882.1|ARO:3003562|blaF,136
DRR480202,Kolkata,Controlled,tetA(P),gb|AAA20116.1|ARO:3000180|tetA(P),814
DRR480202,Kolkata,Controlled,tetB(P),gb|AAA20117.1|ARO:3000195|tetB(P),15421
DRR480202,Kolkata,Controlled,cepA,gb|AAA21532.1|ARO:3003559|cepA,38
DRR480202,Kolkata,Controlled,AAC(6')-Ig,gb|AAA21889.1|ARO:3002554|AAC(6')-Ig,26
DRR480202,Kolkata,Controlled,Afab_ACT_CHL,gb|AAA22081.1|ARO:3004451|Afab_ACT_CHL,2287
DRR480202,Kolkata,Controlled,bmr,gb|AAA22277.1|ARO:3003007|bmr,403
DRR480202,Kolkata,Controlled,Bpum_cat86,gb|AAA22289.1|ARO:3002672|Bpum_cat86,83
DRR480202,Kolkata,Controlled,BcII,gb|AAA22562.1|ARO:3002878|BcII,102
DRR480202,Kolkata,Controlled,ErmD,gb|AAA22597.1|ARO:3000495|ErmD,555
DRR480202,Kolkata,Controlled,tet(L),gb|AAA22851.1|ARO:3000179|tet(L),254
DRR480202,Kolkata,Controlled,CcrA,gb|AAA22904.1|ARO:3000578|CcrA,53
DRR480202,Kolkata,Controlled,Ccol_ACT_CHL,gb|AAA23018.1|ARO:3004454|Ccol_ACT_CHL,182
DRR480202,Kolkata,Controlled,tet(O),gb|AAA23033.2|ARO:3000190|tet(O),5413
DRR480202,Kolkata,Controlled,catQ,gb|AAA23215.1|ARO:3002687|catQ,592
DRR480202,Kolkata,Controlled,vanC,gb|AAA24786.1|ARO:3000368|vanC,1939
DRR480202,Kolkata,Controlled,tet(S),gb|AAA25293.1|ARO:3000192|tet(S),5093
DRR480202,Kolkata,Controlled,AAC(3)-IXa,gb|AAA25334.1|ARO:3002543|AAC(3)-IXa,342
DRR480202,Kolkata,Controlled,dfrA3,gb|AAA25550.1|ARO:3003105|dfrA3,2391
DRR480202,Kolkata,Controlled,catA4,gb|AAA25655.1|ARO:3004657|catA4,280
DRR480202,Kolkata,Controlled,AAC(6')-IIb,gb|AAA25680.1|ARO:3002595|AAC(6')-IIb,156
DRR480202,Kolkata,Controlled,AAC(3)-IIIc,gb|AAA25683.1|ARO:3002538|AAC(3)-IIIc,58
DRR480202,Kolkata,Controlled,ANT(4')-IIa,gb|AAA25717.1|ARO:3002624|ANT(4')-IIa,72
DRR480202,Kolkata,Controlled,CARB-2,gb|AAA25741.1|ARO:3002241|CARB-2,2
DRR480202,Kolkata,Controlled,cmlA1,gb|AAA26057.1|ARO:3002693|cmlA1,1
DRR480202,Kolkata,Controlled,APH(3')-Ib,gb|AAA26412.1|ARO:3002642|APH(3')-Ib,254
DRR480202,Kolkata,Controlled,AAC(3)-IIb,gb|AAA26548.1|ARO:3002534|AAC(3)-IIb,105
DRR480202,Kolkata,Controlled,AAC(6')-Ic,gb|AAA26549.1|ARO:3002549|AAC(6')-Ic,37
DRR480202,Kolkata,Controlled,Sint_ACT_CHL,gb|AAA26615.1|ARO:3004457|Sint_ACT_CHL,16
DRR480202,Kolkata,Controlled,lnuA,gb|AAA26652.1|ARO:3002835|lnuA,144
DRR480202,Kolkata,Controlled,vatA,gb|AAA26683.1|ARO:3002840|vatA,39
DRR480202,Kolkata,Controlled,vgaA,gb|AAA26684.1|ARO:3002829|vgaA,8
DRR480202,Kolkata,Controlled,AAC(3)-VIIIa,gb|AAA26685.1|ARO:3002542|AAC(3)-VIIIa,260
DRR480202,Kolkata,Controlled,APH(3')-Va,gb|AAA26699.1|ARO:3002649|APH(3')-Va,124
DRR480202,Kolkata,Controlled,ErmS,gb|AAA26742.1|ARO:3001304|ErmS,324
DRR480202,Kolkata,Controlled,EXO-1,gb|AAA26775.1|ARO:3003564|EXO-1,18
DRR480202,Kolkata,Controlled,Erm(O)-lrm,gb|AAA26779.1|ARO:3004652|Erm(O)-lrm,105
DRR480202,Kolkata,Controlled,oleC,gb|AAA26793.1|ARO:3003748|oleC,42785
DRR480202,Kolkata,Controlled,otr(A)S.liv,gb|AAA26830.1|ARO:3007127|otr(A)S.liv,2928
DRR480202,Kolkata,Controlled,tlrC,gb|AAA26832.1|ARO:3002827|tlrC,22717
DRR480202,Kolkata,Controlled,aadS,gb|AAA27459.1|ARO:3004683|aadS,828
DRR480202,Kolkata,Controlled,tet(X),gb|AAA27471.1|ARO:3000205|tet(X),726
DRR480202,Kolkata,Controlled,oleB,gb|AAA50325.1|ARO:3003036|oleB,16662
DRR480202,Kolkata,Controlled,vanR_in_vanA_cl,gb|AAA65953.1|ARO:3002919|vanR_in_vanA_cl,5063
DRR480202,Kolkata,Controlled,vanS_in_vanA_cl,gb|AAA65954.1|ARO:3002931|vanS_in_vanA_cl,3466
DRR480202,Kolkata,Controlled,vanH_in_vanA_cl,gb|AAA65955.1|ARO:3002942|vanH_in_vanA_cl,2739
DRR480202,Kolkata,Controlled,vanA,gb|AAA65956.1|ARO:3000010|vanA,1413
DRR480202,Kolkata,Controlled,vanX_in_vanA_cl,gb|AAA65957.1|ARO:3002949|vanX_in_vanA_cl,136
DRR480202,Kolkata,Controlled,vanY_in_vanA_cl,gb|AAA65958.1|ARO:3002955|vanY_in_vanA_cl,1199
DRR480202,Kolkata,Controlled,vanZ_in_vanA_cl,gb|AAA65959.1|ARO:3002962|vanZ_in_vanA_cl,583
DRR480202,Kolkata,Controlled,tet(E),gb|AAA71915.1|ARO:3000173|tet(E),159
DRR480202,Kolkata,Controlled,Cbut_catB,gb|AAA73865.1|ARO:3002674|Cbut_catB,296
DRR480202,Kolkata,Controlled,MexB,gb|AAA74437.1|ARO:3000378|MexB,3289
DRR480202,Kolkata,Controlled,APH(3')-VIIa,gb|AAA76822.1|ARO:3002654|APH(3')-VIIa,32
DRR480202,Kolkata,Controlled,OXA-12,gb|AAA83417.1|ARO:3001407|OXA-12,7
DRR480202,Kolkata,Controlled,dfrD,gb|AAA85213.1|ARO:3002866|dfrD,476
DRR480202,Kolkata,Controlled,vatB,gb|AAA86871.1|ARO:3002841|vatB,6255
DRR480202,Kolkata,Controlled,AAC(6')-Ik,gb|AAA87229.1|ARO:3002558|AAC(6')-Ik,59
DRR480202,Kolkata,Controlled,AAC(3)-Ib,gb|AAA88422.1|ARO:3002530|AAC(3)-Ib,126
DRR480202,Kolkata,Controlled,AAC6_Ie_APH2_Ia,gb|AAA88548.1|ARO:3002597|AAC6_Ie_APH2_Ia,318
DRR480202,Kolkata,Controlled,AAC(3)-VIIa,gb|AAA88552.1|ARO:3002541|AAC(3)-VIIa,114
DRR480202,Kolkata,Controlled,sta,gb|AAA88560.1|ARO:3004699|sta,1717
DRR480202,Kolkata,Controlled,ErmF,gb|AAA88675.1|ARO:3000498|ErmF,379
DRR480202,Kolkata,Controlled,AAC(6')-Il,gb|AAA90937.1|ARO:3004635|AAC(6')-Il,203
DRR480202,Kolkata,Controlled,cph,gb|AAA92037.1|ARO:3007075|cph,344
