Sample	City	Environment	ARG_Class	Abundance
DRR480202	Kolkata	Controlled	AAC(2')-IIa	23
DRR480202	Kolkata	Controlled	AAC(2')-IIb	51
DRR480202	Kolkata	Controlled	AAC(2')-Ia	97
DRR480202	Kolkata	Controlled	AAC(2')-Ib	97
DRR480202	Kolkata	Controlled	AAC(2')-Ic	24
DRR480202	Kolkata	Controlled	AAC(2')-Id	33
DRR480202	Kolkata	Controlled	AAC(2')-Ie	28
DRR480202	Kolkata	Controlled	AAC(3)-IIIa	73
DRR480202	Kolkata	Controlled	AAC(3)-IIIb	117
DRR480202	Kolkata	Controlled	AAC(3)-IIIc	58
DRR480202	Kolkata	Controlled	AAC(3)-IIa	105
DRR480202	Kolkata	Controlled	AAC(3)-IIb	105
DRR480202	Kolkata	Controlled	AAC(3)-IIc	36
DRR480202	Kolkata	Controlled	AAC(3)-IId	7
DRR480202	Kolkata	Controlled	AAC(3)-IIe	58
DRR480202	Kolkata	Controlled	AAC(3)-IIg	64
DRR480202	Kolkata	Controlled	AAC(3)-IVa	175
DRR480202	Kolkata	Controlled	AAC(3)-IVb	236
DRR480202	Kolkata	Controlled	AAC(3)-IXa	342
DRR480202	Kolkata	Controlled	AAC(3)-Ia	183
DRR480202	Kolkata	Controlled	AAC(3)-Ib	126
DRR480202	Kolkata	Controlled	AAC(3)-Ic	190
DRR480202	Kolkata	Controlled	AAC(3)-Id	52
DRR480202	Kolkata	Controlled	AAC(3)-VIIIa	260
DRR480202	Kolkata	Controlled	AAC(3)-VIIa	114
DRR480202	Kolkata	Controlled	AAC(3)-VIa	117
DRR480202	Kolkata	Controlled	AAC(3)-Xa	174
DRR480202	Kolkata	Controlled	AAC(6')-29a	1
DRR480202	Kolkata	Controlled	AAC(6')-29b	1
DRR480202	Kolkata	Controlled	AAC(6')-31	24
DRR480202	Kolkata	Controlled	AAC(6')-32	40
DRR480202	Kolkata	Controlled	AAC(6')-34	176
DRR480202	Kolkata	Controlled	AAC(6')-I-43	331
DRR480202	Kolkata	Controlled	AAC(6')-I-48	218
DRR480202	Kolkata	Controlled	AAC(6')-I30	150
DRR480202	Kolkata	Controlled	AAC(6')-I33	56
DRR480202	Kolkata	Controlled	AAC(6')-IIa	55
